Image_Index, Camera, Point_Index, X, Y
2, left, 25, 2282.7581, 1306.4126
2, left, 26, 2287.7661, 1249.9678
2, left, 27, 2292.8201, 1193.5043
2, left, 28, 2297.6863, 1137.5106
2, left, 29, 2302.8643, 1081.9368
2, left, 30, 2307.7522, 1026.7170
2, left, 31, 2228.7129, 1299.1194
2, left, 32, 2234.0808, 1242.1560
2, left, 33, 2239.0579, 1185.6880
2, left, 34, 2244.3567, 1129.4733
2, left, 35, 2249.5139, 1073.7974
2, left, 36, 2254.7886, 1018.0660
2, left, 37, 2174.4822, 1291.3916
2, left, 38, 2179.8721, 1234.5552
2, left, 39, 2185.2419, 1177.7272
2, left, 40, 2190.6221, 1121.6814
2, left, 41, 2196.0642, 1065.3940
2, left, 42, 2201.2729, 1009.7235
2, left, 43, 2119.8589, 1283.9952
2, left, 44, 2125.3706, 1226.6448
2, left, 45, 2131.0061, 1169.9252
2, left, 46, 2136.5947, 1113.2408
2, left, 47, 2142.0251, 1057.1771
2, left, 48, 2147.6157, 1001.2648
2, left, 49, 2064.9297, 1276.2946
2, left, 50, 2070.7043, 1218.9729
2, left, 51, 2076.4182, 1161.6824
2, left, 52, 2082.0786, 1105.2106
2, left, 53, 2087.8013, 1048.6252
2, left, 54, 2093.5283, 992.8189
2, right, 1, 1313.0000, 1308.0000
2, right, 2, 1295.8058, 1233.9297
2, right, 3, 1278.0000, 1160.0000
2, right, 4, 1261.3268, 1085.9381
2, right, 5, 1244.7842, 1013.1758
2, right, 6, 1225.7285, 938.3365
2, right, 7, 1248.3555, 1324.9951
2, right, 8, 1229.3021, 1251.6388
2, right, 9, 1213.5009, 1179.2866
2, right, 10, 1197.4117, 1105.5204
2, right, 11, 1179.0924, 1033.4730
2, right, 12, 1162.0000, 959.0000
2, right, 13, 1185.0000, 1341.0000
2, right, 14, 1167.5375, 1269.1703
2, right, 15, 1151.0000, 1196.0000
2, right, 16, 1134.0000, 1124.0000
2, right, 17, 1117.5410, 1051.5425
2, right, 18, 1099.3210, 978.6722
2, right, 19, 1122.0000, 1357.0000
2, right, 20, 1106.0000, 1285.0000
2, right, 21, 1088.6511, 1213.8070
2, right, 22, 1072.8143, 1141.7166
2, right, 23, 1054.7921, 1070.2262
2, right, 24, 1038.2062, 998.3383
2, right, 25, 1060.0000, 1373.0000
2, right, 26, 1044.5691, 1301.2651
2, right, 27, 1027.6899, 1230.6339
2, right, 28, 1011.0339, 1159.6104
2, right, 29, 995.1011, 1088.4965
2, right, 30, 977.0654, 1018.0951
2, right, 31, 999.9218, 1389.0310
2, right, 32, 984.0986, 1317.8143
2, right, 33, 967.7505, 1247.0577
2, right, 34, 951.7556, 1176.8406
2, right, 35, 934.3488, 1106.7501
2, right, 36, 918.2053, 1036.0377
2, right, 37, 941.0000, 1404.0000
2, right, 38, 924.9642, 1333.5239
2, right, 39, 909.3441, 1264.0275
2, right, 40, 892.1656, 1194.1915
2, right, 41, 876.9659, 1124.0024
2, right, 42, 859.8572, 1054.2046
2, right, 43, 882.7751, 1418.0389
2, right, 44, 868.3073, 1349.1169
2, right, 45, 850.9319, 1279.6613
2, right, 46, 835.3550, 1210.7443
2, right, 47, 818.7867, 1141.6633
2, right, 48, 802.9462, 1072.4285
2, right, 49, 826.0910, 1433.2438
2, right, 50, 809.7952, 1364.8538
